Designator,Val,Package,Mid X,Mid Y,Rot,Layer
C1,10uF,CP_EIA-3216-18_Kemet-A,119.5,-85.75,180,top
C2,10uF,CP_EIA-3216-18_Kemet-A,114.25,-78,270,top
C3,10uF,CP_EIA-3216-18_Kemet-A,120.5,-74.25,180,top
C4,30pf,C_0603_1608Metric,138.25,-77.5,90,top
C5,30pf,C_0603_1608Metric,138.25,-80.5,90,top
Q1,Q_NPN_BCE,SOT-23,130,-69.75,270,top
Q2,Q_NPN_BCE,SOT-23,135,-69.75,270,top
R1,R,R_0603_1608Metric,134,-72.5,0,top
R2,R,R_0603_1608Metric,131,-72.5,180,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,119.25,-80,90,top
U2,CH340G,SOIC-16_3.9x9.9mm_P1.27mm,128.75,-77.75,90,top
